sample,model,condition,words,meanings,response,accuracy,memory_size
0,pursuit,2,b,B,B,1,9.5
0,pursuit,2,c,C,C,1,9.5
0,pursuit,2,d,D,D,1,9.5
0,pursuit,2,e,E,E,1,9.5
0,pursuit,2,f,F,F,1,9.5
0,pursuit,2,g,G,G,1,9.5
0,pursuit,2,h,H,H,1,9.5
0,pursuit,2,i,I,P,0,9.5
0,pursuit,2,j,J,J,1,9.5
0,pursuit,2,k,K,K,1,9.5
0,pursuit,2,l,L,L,1,9.5
0,pursuit,2,m,M,M,1,9.5
0,pursuit,2,n,N,N,1,9.5
0,pursuit,2,o,O,M,0,9.5
0,pursuit,2,p,P,P,1,9.5
0,pursuit,2,q,Q,Q,1,9.5
0,pursuit,2,r,R,R,1,9.5
1,pursuit,2,a,A,A,1,9.5
1,pursuit,2,b,B,B,1,9.5
1,pursuit,2,c,C,C,1,9.5
1,pursuit,2,d,D,A,0,9.5
1,pursuit,2,e,E,E,1,9.5
1,pursuit,2,f,F,F,1,9.5
1,pursuit,2,g,G,G,1,9.5
1,pursuit,2,h,H,F,0,9.5
1,pursuit,2,i,I,I,1,9.5
1,pursuit,2,j,J,J,1,9.5
1,pursuit,2,k,K,K,1,9.5
1,pursuit,2,l,L,L,1,9.5
1,pursuit,2,m,M,M,1,9.5
1,pursuit,2,n,N,N,1,9.5
1,pursuit,2,o,O,O,1,9.5
1,pursuit,2,p,P,P,1,9.5
1,pursuit,2,q,Q,Q,1,9.5
1,pursuit,2,r,R,R,1,9.5
2,pursuit,2,a,A,A,1,9.5
2,pursuit,2,b,B,A,0,9.5
2,pursuit,2,c,C,C,1,9.5
2,pursuit,2,d,D,D,1,9.5
2,pursuit,2,e,E,E,1,9.5
2,pursuit,2,f,F,F,1,9.5
2,pursuit,2,g,G,G,1,9.5
2,pursuit,2,h,H,H,1,9.5
2,pursuit,2,i,I,I,1,9.5
2,pursuit,2,j,J,J,1,9.5
2,pursuit,2,k,K,K,1,9.5
2,pursuit,2,l,L,L,1,9.5
2,pursuit,2,m,M,M,1,9.5
2,pursuit,2,n,N,N,1,9.5
2,pursuit,2,o,O,O,1,9.5
2,pursuit,2,p,P,L,0,9.5
2,pursuit,2,q,Q,Q,1,9.5
2,pursuit,2,r,R,N,0,9.5
3,pursuit,2,a,A,A,1,9.5
3,pursuit,2,b,B,B,1,9.5
3,pursuit,2,c,C,C,1,9.5
3,pursuit,2,d,D,D,1,9.5
3,pursuit,2,e,E,E,1,9.5
3,pursuit,2,f,F,F,1,9.5
3,pursuit,2,g,G,G,1,9.5
3,pursuit,2,h,H,H,1,9.5
3,pursuit,2,i,I,I,1,9.5
3,pursuit,2,j,J,J,1,9.5
3,pursuit,2,k,K,K,1,9.5
3,pursuit,2,l,L,E,0,9.5
3,pursuit,2,m,M,M,1,9.5
3,pursuit,2,n,N,P,0,9.5
3,pursuit,2,o,O,A,0,9.5
3,pursuit,2,p,P,P,1,9.5
3,pursuit,2,q,Q,Q,1,9.5
3,pursuit,2,r,R,R,1,9.5
4,pursuit,2,a,A,A,1,9.5
4,pursuit,2,b,B,B,1,9.5
4,pursuit,2,c,C,C,1,9.5
4,pursuit,2,d,D,D,1,9.5
4,pursuit,2,e,E,E,1,9.5
4,pursuit,2,f,F,F,1,9.5
4,pursuit,2,g,G,A,0,9.5
4,pursuit,2,h,H,J,0,9.5
4,pursuit,2,i,I,I,1,9.5
4,pursuit,2,j,J,J,1,9.5
4,pursuit,2,k,K,O,0,9.5
4,pursuit,2,l,L,L,1,9.5
4,pursuit,2,m,M,M,1,9.5
4,pursuit,2,n,N,N,1,9.5
4,pursuit,2,o,O,O,1,9.5
4,pursuit,2,p,P,P,1,9.5
4,pursuit,2,q,Q,Q,1,9.5
4,pursuit,2,r,R,G,0,9.5
5,pursuit,2,a,A,A,1,9.5
5,pursuit,2,b,B,B,1,9.5
5,pursuit,2,c,C,C,1,9.5
5,pursuit,2,d,D,D,1,9.5
5,pursuit,2,e,E,N,0,9.5
5,pursuit,2,f,F,P,0,9.5
5,pursuit,2,g,G,G,1,9.5
5,pursuit,2,h,H,H,1,9.5
5,pursuit,2,i,I,N,0,9.5
5,pursuit,2,j,J,R,0,9.5
5,pursuit,2,k,K,K,1,9.5
5,pursuit,2,l,L,L,1,9.5
5,pursuit,2,m,M,M,1,9.5
5,pursuit,2,n,N,N,1,9.5
5,pursuit,2,o,O,O,1,9.5
5,pursuit,2,p,P,P,1,9.5
5,pursuit,2,q,Q,J,0,9.5
5,pursuit,2,r,R,R,1,9.5
6,pursuit,2,a,A,K,0,9.5
6,pursuit,2,b,B,B,1,9.5
6,pursuit,2,c,C,C,1,9.5
6,pursuit,2,d,D,D,1,9.5
6,pursuit,2,e,E,E,1,9.5
6,pursuit,2,f,F,F,1,9.5
6,pursuit,2,g,G,G,1,9.5
6,pursuit,2,h,H,H,1,9.5
6,pursuit,2,i,I,I,1,9.5
6,pursuit,2,j,J,J,1,9.5
6,pursuit,2,k,K,K,1,9.5
6,pursuit,2,l,L,L,1,9.5
6,pursuit,2,m,M,M,1,9.5
6,pursuit,2,n,N,N,1,9.5
6,pursuit,2,o,O,O,1,9.5
6,pursuit,2,p,P,E,0,9.5
6,pursuit,2,q,Q,Q,1,9.5
6,pursuit,2,r,R,R,1,9.5
7,pursuit,2,a,A,A,1,9.5
7,pursuit,2,b,B,B,1,9.5
7,pursuit,2,c,C,C,1,9.5
7,pursuit,2,d,D,D,1,9.5
7,pursuit,2,e,E,E,1,9.5
7,pursuit,2,f,F,F,1,9.5
7,pursuit,2,g,G,G,1,9.5
7,pursuit,2,h,H,H,1,9.5
7,pursuit,2,i,I,A,0,9.5
7,pursuit,2,j,J,J,1,9.5
7,pursuit,2,k,K,K,1,9.5
7,pursuit,2,l,L,L,1,9.5
7,pursuit,2,m,M,M,1,9.5
7,pursuit,2,n,N,N,1,9.5
7,pursuit,2,o,O,P,0,9.5
7,pursuit,2,p,P,P,1,9.5
7,pursuit,2,q,Q,O,0,9.5
7,pursuit,2,r,R,R,1,9.5
8,pursuit,2,a,A,A,1,9.5
8,pursuit,2,b,B,B,1,9.5
8,pursuit,2,c,C,C,1,9.5
8,pursuit,2,d,D,E,0,9.5
8,pursuit,2,e,E,E,1,9.5
8,pursuit,2,f,F,F,1,9.5
8,pursuit,2,g,G,G,1,9.5
8,pursuit,2,h,H,H,1,9.5
8,pursuit,2,i,I,I,1,9.5
8,pursuit,2,j,J,J,1,9.5
8,pursuit,2,k,K,J,0,9.5
8,pursuit,2,l,L,L,1,9.5
8,pursuit,2,m,M,H,0,9.5
8,pursuit,2,n,N,N,1,9.5
8,pursuit,2,o,O,O,1,9.5
8,pursuit,2,p,P,P,1,9.5
8,pursuit,2,q,Q,Q,1,9.5
8,pursuit,2,r,R,R,1,9.5
9,pursuit,2,a,A,A,1,9.5
9,pursuit,2,b,B,A,0,9.5
9,pursuit,2,c,C,C,1,9.5
9,pursuit,2,d,D,D,1,9.5
9,pursuit,2,e,E,E,1,9.5
9,pursuit,2,f,F,F,1,9.5
9,pursuit,2,g,G,G,1,9.5
9,pursuit,2,h,H,H,1,9.5
9,pursuit,2,i,I,I,1,9.5
9,pursuit,2,j,J,J,1,9.5
9,pursuit,2,k,K,K,1,9.5
9,pursuit,2,l,L,L,1,9.5
9,pursuit,2,m,M,M,1,9.5
9,pursuit,2,n,N,N,1,9.5
9,pursuit,2,o,O,D,0,9.5
9,pursuit,2,p,P,P,1,9.5
9,pursuit,2,q,Q,Q,1,9.5
9,pursuit,2,r,R,R,1,9.5
10,pursuit,2,a,A,O,0,9.5
10,pursuit,2,b,B,D,0,9.5
10,pursuit,2,c,C,C,1,9.5
10,pursuit,2,d,D,K,0,9.5
10,pursuit,2,e,E,E,1,9.5
10,pursuit,2,f,F,F,1,9.5
10,pursuit,2,g,G,G,1,9.5
10,pursuit,2,h,H,H,1,9.5
10,pursuit,2,i,I,I,1,9.5
10,pursuit,2,j,J,J,1,9.5
10,pursuit,2,k,K,K,1,9.5
10,pursuit,2,l,L,L,1,9.5
10,pursuit,2,m,M,M,1,9.5
10,pursuit,2,n,N,N,1,9.5
10,pursuit,2,o,O,O,1,9.5
10,pursuit,2,p,P,P,1,9.5
10,pursuit,2,q,Q,Q,1,9.5
10,pursuit,2,r,R,R,1,9.5
11,pursuit,2,a,A,K,0,9.5
11,pursuit,2,b,B,B,1,9.5
11,pursuit,2,c,C,C,1,9.5
11,pursuit,2,d,D,D,1,9.5
11,pursuit,2,e,E,E,1,9.5
11,pursuit,2,f,F,F,1,9.5
11,pursuit,2,g,G,G,1,9.5
11,pursuit,2,h,H,H,1,9.5
11,pursuit,2,i,I,O,0,9.5
11,pursuit,2,j,J,M,0,9.5
11,pursuit,2,k,K,K,1,9.5
11,pursuit,2,l,L,L,1,9.5
11,pursuit,2,m,M,M,1,9.5
11,pursuit,2,n,N,N,1,9.5
11,pursuit,2,o,O,O,1,9.5
11,pursuit,2,p,P,P,1,9.5
11,pursuit,2,q,Q,Q,1,9.5
11,pursuit,2,r,R,R,1,9.5
12,pursuit,2,a,A,A,1,9.5
12,pursuit,2,b,B,B,1,9.5
12,pursuit,2,c,C,C,1,9.5
12,pursuit,2,d,D,D,1,9.5
12,pursuit,2,e,E,E,1,9.5
12,pursuit,2,f,F,F,1,9.5
12,pursuit,2,g,G,G,1,9.5
12,pursuit,2,h,H,H,1,9.5
12,pursuit,2,i,I,I,1,9.5
12,pursuit,2,j,J,D,0,9.5
12,pursuit,2,k,K,K,1,9.5
12,pursuit,2,l,L,L,1,9.5
12,pursuit,2,m,M,M,1,9.5
12,pursuit,2,n,N,N,1,9.5
12,pursuit,2,o,O,O,1,9.5
12,pursuit,2,p,P,P,1,9.5
12,pursuit,2,q,Q,Q,1,9.5
12,pursuit,2,r,R,R,1,9.5
13,pursuit,2,a,A,A,1,9.5
13,pursuit,2,b,B,B,1,9.5
13,pursuit,2,c,C,C,1,9.5
13,pursuit,2,d,D,D,1,9.5
13,pursuit,2,e,E,E,1,9.5
13,pursuit,2,f,F,F,1,9.5
13,pursuit,2,g,G,G,1,9.5
13,pursuit,2,h,H,H,1,9.5
13,pursuit,2,i,I,I,1,9.5
13,pursuit,2,j,J,J,1,9.5
13,pursuit,2,k,K,K,1,9.5
13,pursuit,2,l,L,L,1,9.5
13,pursuit,2,m,M,M,1,9.5
13,pursuit,2,n,N,N,1,9.5
13,pursuit,2,o,O,O,1,9.5
13,pursuit,2,p,P,P,1,9.5
13,pursuit,2,q,Q,Q,1,9.5
13,pursuit,2,r,R,R,1,9.5
14,pursuit,2,a,A,A,1,9.5
14,pursuit,2,b,B,B,1,9.5
14,pursuit,2,c,C,C,1,9.5
14,pursuit,2,d,D,D,1,9.5
14,pursuit,2,e,E,E,1,9.5
