sample,model,condition,words,meanings,response,accuracy,memory_size
0,trace_0.5,2,b,B,B,1,4.25
0,trace_0.5,2,c,C,C,1,4.25
0,trace_0.5,2,d,D,D,1,4.25
0,trace_0.5,2,e,E,E,1,4.25
0,trace_0.5,2,f,F,F,1,4.25
0,trace_0.5,2,g,G,G,1,4.25
0,trace_0.5,2,h,H,H,1,4.25
0,trace_0.5,2,i,I,I,1,4.25
0,trace_0.5,2,j,J,J,1,4.25
0,trace_0.5,2,k,K,K,1,4.25
0,trace_0.5,2,l,L,L,1,4.25
0,trace_0.5,2,m,M,M,1,4.25
0,trace_0.5,2,n,N,N,1,4.25
0,trace_0.5,2,o,O,O,1,4.25
0,trace_0.5,2,p,P,P,1,4.25
0,trace_0.5,2,q,Q,Q,1,4.25
0,trace_0.5,2,r,R,R,1,4.25
1,trace_0.5,2,a,A,A,1,4.25
1,trace_0.5,2,b,B,B,1,4.25
1,trace_0.5,2,c,C,C,1,4.25
1,trace_0.5,2,d,D,D,1,4.25
1,trace_0.5,2,e,E,E,1,4.25
1,trace_0.5,2,f,F,F,1,4.25
1,trace_0.5,2,g,G,G,1,4.25
1,trace_0.5,2,h,H,H,1,4.25
1,trace_0.5,2,i,I,I,1,4.25
1,trace_0.5,2,j,J,J,1,4.25
1,trace_0.5,2,k,K,K,1,4.25
1,trace_0.5,2,l,L,L,1,4.25
1,trace_0.5,2,m,M,M,1,4.25
1,trace_0.5,2,n,N,N,1,4.25
1,trace_0.5,2,o,O,O,1,4.25
1,trace_0.5,2,p,P,P,1,4.25
1,trace_0.5,2,q,Q,Q,1,4.25
1,trace_0.5,2,r,R,R,1,4.25
2,trace_0.5,2,a,A,A,1,4.25
2,trace_0.5,2,b,B,B,1,4.25
2,trace_0.5,2,c,C,C,1,4.25
2,trace_0.5,2,d,D,D,1,4.25
2,trace_0.5,2,e,E,E,1,4.25
2,trace_0.5,2,f,F,F,1,4.25
2,trace_0.5,2,g,G,G,1,4.25
2,trace_0.5,2,h,H,H,1,4.25
2,trace_0.5,2,i,I,I,1,4.25
2,trace_0.5,2,j,J,J,1,4.25
2,trace_0.5,2,k,K,K,1,4.25
2,trace_0.5,2,l,L,L,1,4.25
2,trace_0.5,2,m,M,M,1,4.25
2,trace_0.5,2,n,N,N,1,4.25
2,trace_0.5,2,o,O,O,1,4.25
2,trace_0.5,2,p,P,P,1,4.25
2,trace_0.5,2,q,Q,Q,1,4.25
2,trace_0.5,2,r,R,R,1,4.25
3,trace_0.5,2,a,A,A,1,4.25
3,trace_0.5,2,b,B,B,1,4.25
3,trace_0.5,2,c,C,C,1,4.25
3,trace_0.5,2,d,D,D,1,4.25
3,trace_0.5,2,e,E,E,1,4.25
3,trace_0.5,2,f,F,F,1,4.25
3,trace_0.5,2,g,G,G,1,4.25
3,trace_0.5,2,h,H,H,1,4.25
3,trace_0.5,2,i,I,L,0,4.25
3,trace_0.5,2,j,J,J,1,4.25
3,trace_0.5,2,k,K,K,1,4.25
3,trace_0.5,2,l,L,L,1,4.25
3,trace_0.5,2,m,M,M,1,4.25
3,trace_0.5,2,n,N,N,1,4.25
3,trace_0.5,2,o,O,O,1,4.25
3,trace_0.5,2,p,P,P,1,4.25
3,trace_0.5,2,q,Q,Q,1,4.25
3,trace_0.5,2,r,R,R,1,4.25
4,trace_0.5,2,a,A,A,1,4.25
4,trace_0.5,2,b,B,B,1,4.25
